ID,Year,NNdist,CalvingGround,Calved,CalvingDate,Lost,LossDate,NNpart,CalvingGround2,NNdistkm,NNdistkm_cent,predict.mod1
mr2009a01,2009,16254.8484076784,On,1,2009-05-22,0,,13242.825383052,1,16.2548484076784,-0.953843517602479,0.246412021798278
mr2009a02,2009,19821.2062203854,On,1,2009-05-22,0,,29844.3167612736,1,19.8212062203854,-0.228563955747098,0.290351343223084
mr2009a02,2010,19430.7840738168,On,1,2010-05-24,0,,15677.0772285456,1,19.4307840738168,-0.307962944371579,0.285321095560846
mr2009a02,2011,18044.313637571,On,1,2011-05-30,0,,16590.8374208032,1,18.044313637571,-0.589925305787711,0.267888026483783
mr2009a02,2012,17551.2039519111,On,1,2012-05-29,1,2012-06-01,8539.00102722411,1,17.5512039519111,-0.690207553263774,0.261853202220264
mr2009a03,2009,18071.304972102,On,1,2009-06-06,1,2009-06-18,14757.6495606685,1,18.071304972102,-0.584436158508994,0.268220888400263
mr2009a03,2010,19262.3448630094,On,1,2010-05-22,0,,14187.8278333459,1,19.2623448630094,-0.342217924782791,0.283167143559235
mr2009a03,2011,19489.6473384261,On,1,2011-06-04,1,2011-06-18,19374.5487402698,1,19.4896473384261,-0.295992097640184,0.286076138711769
mr2009a03,2012,23839.9737222386,On,1,2012-05-22,0,,15127.167460281,1,23.8399737222386,0.588720816565293,0.345002508257661
mr2009a03,2013,31541.3839260171,On,1,2013-05-22,0,,27416.8969266623,1,31.5413839260171,2.15493366216455,0.460828031398893
mr2009a04,2009,15971.5183067152,On,1,2009-05-22,0,,15217.064510393,1,15.9715183067152,-1.01146351600949,0.243120033737515
mr2009a04,2010,17836.240686253,On,1,2010-05-22,0,,14760.6576755064,1,17.836240686253,-0.632240481911716,0.2653308429962
mr2009a06,2009,18742.1880525205,On,1,2009-05-31,1,2009-06-09,15923.8885963413,1,18.7421880525205,-0.448000665444227,0.276578034551186
mr2009a06,2010,19772.5811224073,On,1,2010-05-22,0,,11231.5245816839,1,19.7725811224073,-0.238452697036913,0.289722000550112
mr2009a06,2011,19466.9187110501,On,1,2011-05-22,0,,13024.9063405958,1,19.4669187110501,-0.30061435086618,0.285784455151154
mr2009a06,2012,23806.6331022912,On,1,2012-05-22,0,,10916.7020373324,1,23.8066331022912,0.581940434030109,0.344529103792911
mr2009a06,2013,31198.9895174467,On,1,2013-05-22,0,,21425.14461146,1,31.1989895174467,2.08530193151071,0.455485487073257
mr2009a07,2010,20045.060092773,On,1,2010-05-22,0,,13647.6614168976,1,20.045060092773,-0.18303946072687,0.293259016613025
mr2009a07,2011,20330.0663768185,On,1,2011-05-30,1,2011-06-01,14779.7259445084,1,20.3300663768185,-0.125078581960853,0.296985539901646
mr2009a08,2009,16990.4772730495,On,1,2009-05-22,0,,13013.9211097526,1,16.9904772730495,-0.804240867171965,0.255098358583752
mr2009a08,2010,19734.7114785532,On,1,2010-05-28,1,2010-06-01,17910.7671619096,1,19.7347114785532,-0.246154133669048,0.289232422965835
mr2009a08,2011,22323.3882233935,On,1,2011-06-01,1,2011-06-06,14725.4245730911,1,22.3233882233935,0.28029734256627,0.323790924989289
mr2009a08,2012,17648.7999656742,On,1,2012-05-22,0,,10445.7943548242,1,17.6487999656742,-0.670359742747204,0.263040621926028
mr2009a09,2009,15375.5293171587,On,1,2009-05-23,0,,16714.3218099489,1,15.3755293171587,-1.13266802097421,0.236293276049172
mr2009a09,2010,18813.2980325424,On,1,2010-05-31,0,,20848.1626297818,1,18.8132980325424,-0.43353924069036,0.277473216068344
mr2009a09,2011,18264.528470733,On,1,2011-05-28,0,,15576.6144649063,1,18.264528470733,-0.545140871331723,0.270611392150681
mr2009a09,2012,17212.6966112499,On,1,2012-05-25,0,,10382.8206623201,1,17.2126966112499,-0.759048782499044,0.257761581241774
mr2009a09,2013,28017.0294761442,On,1,2013-05-23,1,2013-06-05,22542.9008690375,1,28.0170294761442,1.43819619905323,0.406481011487005
mr2009a10,2011,16944.9833971551,On,1,2011-05-30,0,,16907.3210312535,1,16.9449833971551,-0.813492821156573,0.254555366872882
mr2009a10,2012,16983.5859987469,On,1,2012-05-28,1,2012-05-31,8331.00263661498,1,16.9835859987469,-0.805642325093263,0.255016058922212
mr2009a10,2013,31297.6242813775,On,1,2013-05-23,0,,21886.2827964305,1,31.2976242813775,2.10536098955377,0.457023537175116
mr2009a11,2009,16244.2103121993,On,1,2009-05-22,0,,15525.9959308264,1,16.2442103121993,-0.956006955382206,0.246287878271786
mr2009a11,2010,17493.3369186783,On,1,2010-05-22,0,,12750.2525218151,1,17.4933369186783,-0.701975799388543,0.261150787928672
mr2009a11,2011,18823.7549589407,On,1,2011-05-22,0,,16330.1921532381,1,18.8237549589407,-0.431412646726758,0.27760500549522
mr2009a11,2012,12426.8704160173,On,,,0,,,1,12.4268704160173,-1.73232799571395,0.204492774629525
mr2009a14,2010,28763.2453138287,On,1,2010-05-22,0,,35346.6627655373,1,28.7632453138287,1.5899518904976,0.417844365286787
mr2009a16,2009,15397.6268540956,On,1,2009-05-22,0,,13744.6704241622,1,15.3976268540956,-1.12817411073037,0.236544013303494
mr2009a16,2010,17109.5073954481,On,1,2010-05-22,0,,12134.5176189662,1,17.1095073954481,-0.780034065848433,0.256522640322147
mr2009a16,2011,18812.7039103072,On,1,2011-05-22,0,,17974.8784264567,1,18.8127039103072,-0.433660065559039,0.277465729458403
mr2009a17,2009,17121.5140929228,On,1,2009-05-22,0,,13242.2947336581,1,17.1215140929228,-0.777592299558808,0.256666597987542
mr2009a17,2010,17951.6106700751,On,1,2010-06-08,1,2010-06-11,14342.7712279639,1,17.9516106700751,-0.608778032064532,0.266746793705364
mr2009a18,2010,23401.2794853162,On,1,2010-05-26,0,,13151.5291008814,1,23.4012794853162,0.499504876759727,0.338798359058296
mr2009a18,2011,20135.9289920518,On,1,2011-05-23,0,,14661.7911670741,1,20.1359289920518,-0.164559723438482,0.294444176239128
mr2009a18,2012,26261.8449293262,On,1,2012-06-04,1,2012-06-09,10845.4664144344,1,26.2618449293262,1.08124954761076,0.38016365576609
mr2009a21,2009,16606.7597813171,On,1,2009-05-23,0,,15154.0967291914,1,16.6067597813171,-0.882276350119954,0.25054242299706
mr2009a21,2010,17092.284342579,On,1,2010-06-18,0,,,1,17.092284342579,-0.783536666791663,0.256316232059957
mr2009a21,2011,18510.37435894,On,1,2011-05-29,1,2011-06-02,17890.5084566098,1,18.51037435894,-0.495143925582933,0.273672224010766
mr2009a21,2012,22433.6349016617,On,1,2012-05-22,0,,11105.1249978355,1,22.4336349016617,0.302717881028648,0.325309995903001
mr2009a23,2009,14375.4315863263,On,1,2009-05-22,0,,15374.5503945315,1,14.3754315863263,-1.33605491654768,0.225138071051788
mr2009a24,2009,20849.6955809901,On,1,2009-05-22,0,,15168.2668571249,1,20.8496955809901,-0.0194031390240785,0.303849606710881
mr2009a24,2010,24118.4842911777,On,1,2010-06-16,1,2010-06-28,23813.9319775874,1,24.1184842911777,0.645360681105105,0.34896903539729
mr2009a24,2011,23089.0945681337,On,1,2011-05-22,0,,17017.8738212761,1,23.0890945681337,0.436016760355569,0.334416689034212
mr2009a25,2009,15564.2160320551,On,1,2009-05-23,0,,13385.0668077811,1,15.5642160320551,-1.09429536598697,0.23844017982443
mr2009a25,2010,20465.6957952465,On,1,2010-06-15,1,2010-06-26,19010.3975697448,1,20.4656957952465,-0.0974960312640008,0.298768497836675
mr2009a25,2011,18166.8545645459,On,1,2011-05-24,0,,14822.2154688652,1,18.1668545645459,-0.565004522598478,0.269401326148964
mr2009a25,2012,17174.5800814422,On,1,2012-05-24,0,,11092.9105843681,1,17.1745800814422,-0.766800427591945,0.257303480723851
mr2009a25,2013,27687.102724682,On,1,2013-05-23,1,2013-05-25,24159.5336339866,1,27.687102724682,1.37109997867616,0.401487875006505
mr2009a26,2010,28601.9689527367,On,1,2010-05-22,0,,15880.2689918461,1,28.6019689527367,1.55715359749018,0.415380612596605
mr2009a26,2012,29040.8205720082,On,,,0,,,1,29.0408205720082,1.64640154367513,0.422094320117945
mr2009a27,2009,16386.4416815091,On,1,2009-05-28,1,2009-06-06,14104.2019113772,1,16.3864416815091,-0.927081785606057,0.247951157600931
mr2009a27,2010,17732.1788205263,On,1,2010-05-22,0,,12466.8806665105,1,17.7321788205263,-0.653403233476125,0.264057804604459
mr2009a29,2010,21902.8835603963,On,1,2010-05-29,0,,14611.7697790013,1,21.9028835603963,0.194780562211235,0.318031072620951
mr2009a30,2010,19631.0066561772,On,1,2010-06-03,1,2010-06-11,15324.4545435226,1,19.6310066561772,-0.267244274391084,0.287894245404964
mr2009a30,2011,19023.6414379512,On,1,2011-05-22,0,,16241.8244153116,1,19.0236414379512,-0.390762329083092,0.280131584445966
mr2009a30,2012,17210.1993843277,On,1,2012-05-25,0,,10731.7746732961,1,17.2101993843277,-0.759556636097347,0.257731552225685
mr2009a31,2011,26525.934350822,On,1,2011-05-23,0,,28816.5143580083,1,26.525934350822,1.13495662636505,0.384082801328869
mr2009a31,2012,27818.6673765983,On,1,2012-05-22,0,,25759.8084750807,1,27.8186673765983,1.39785588991914,0.40347659692602
mr2010a01,2011,17910.0777935732,On,1,2011-05-22,0,,14796.8993341961,1,17.9100777935732,-0.617224449405093,0.266236501934486
mr2010a01,2012,17433.97758544,On,1,2012-05-22,0,,13931.9742756726,1,17.43397758544,-0.714047530118913,0.260431526440861
mr2010a03,2011,19569.7665519226,On,1,2011-05-22,0,,18038.2248613453,1,19.5697665519226,-0.279698491918979,0.287105754981403
mr2011a01,2012,29571.9014968058,On,1,2012-06-05,0,,14124.8403708549,1,29.5719014968058,1.75440588891345,0.430257429518414
mr2011a02,2011,20192.7129246487,On,1,2011-05-28,1,2011-06-10,17058.7935756365,1,20.1927129246487,-0.153011744262776,0.295186197049967
mr2011a03,2011,21468.4580403038,On,1,2011-05-27,1,2011-06-10,36093.9563675139,1,21.4684580403038,0.106432738628072,0.312138458018215
mr2011a04,2013,32023.9662000683,On,1,2013-05-24,1,2013-05-29,25276.709556917,1,32.0239662000683,2.2530749813098,0.468373019231142
mr2011a05,2011,17587.9784798547,On,1,2011-06-13,1,2011-06-15,12326.7390554671,1,17.5879784798547,-0.682728827091277,0.262300219861711
mr2011a05,2012,22483.1658164486,On,,,0,,,1,22.4831658164486,0.312790835583842,0.32599367441423
mr2011a06,2011,17700.7623899525,On,1,2011-05-22,1,,13448.3265432612,1,17.7007623899525,-0.659792299351789,0.263674243016583
mr2012a03,2013,31363.5576804679,On,1,2013-05-26,0,,21268.2778296372,1,31.3635576804679,2.11876966846803,0.458052121170162
mr2012a04,2013,30177.7223332067,On,1,2013-06-03,1,2013-06-06,34263.986293022,1,30.1777223332067,1.87760986727539,0.439615612368928
mr2012a05,2013,31086.2365087933,On,1,2013-05-28,1,2013-05-31,24002.7321287323,1,31.0862365087933,2.06237168810589,0.453728326995937
mr2012a06,2013,27947.979830157,On,1,2013-05-29,1,2013-06-09,24530.4530957017,1,27.947979830157,1.42415377829291,0.405434371291229
